,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
0,0,Star Wars: Episode VII - The Force Awakens,(2015),7.9,81        ,799424,"936,662,225","
Action, Adventure, Sci-Fi            ",tt2488496
1,1,Avengers: Endgame,(2019),8.5,78        ,598830,"858,373,000","
Action, Adventure, Drama            ",tt4154796
2,2,Avatar,(2009),7.8,83        ,1065708,"760,507,625","
Action, Adventure, Fantasy            ",tt0499549
3,3,Black Panther,(2018),7.3,88        ,550256,"700,059,566","
Action, Adventure, Sci-Fi            ",tt1825683
4,4,Avengers: Infinity War,(2018),8.5,68        ,723574,"678,815,482","
Action, Adventure, Sci-Fi            ",tt4154756
5,5,Titanic,(1997),7.8,75        ,979853,"659,325,379","
Drama, Romance            ",tt0120338
6,6,Jurassic World,(2015),7.0,59        ,549843,"652,270,625","
Action, Adventure, Sci-Fi            ",tt0369610
7,7,Avengers Assemble,(2012),8.0,69        ,1206183,"623,279,547","
Action, Adventure, Sci-Fi            ",tt0848228
8,8,Star Wars: Episode VIII - The Last Jedi,(2017),7.1,85        ,482007,"620,181,382","
Action, Adventure, Fantasy            ",tt2527336
9,9,The Incredibles 2,(2018),7.7,80        ,218699,"608,581,744","
Animation, Action, Adventure            ",tt3606756
10,10,The Lion King,(2019),7.0,55        ,132254,"540,079,599","
Animation, Adventure, Drama            ",tt6105098
11,11,The Dark Knight,(2008),9.0,84        ,2132130,"534,858,444","
Action, Crime, Drama            ",tt0468569
12,12,Rogue One,(2016),7.8,65        ,493737,"532,177,324","
Action, Adventure, Sci-Fi            ",tt3748528
13,13,Beauty and the Beast,(2017),7.2,65        ,247977,"504,014,165","
Family, Fantasy, Musical            ",tt2771200
14,14,Finding Dory,(2016),7.3,77        ,220167,"486,295,561","
Animation, Adventure, Comedy            ",tt2277860
15,15,Star Wars: Episode I - The Phantom Menace,(1999),6.5,51        ,668358,"474,544,677","
Action, Adventure, Fantasy            ",tt0120915
16,16,Avengers: Age of Ultron,(2015),7.3,66        ,688259,"459,005,868","
Action, Adventure, Sci-Fi            ",tt2395427
17,17,The Dark Knight Rises,(2012),8.4,78        ,1420236,"448,139,099","
Action, Thriller            ",tt1345836
18,18,Shrek 2,(2004),7.2,75        ,391929,"436,471,036","
Animation, Adventure, Comedy            ",tt0298148
19,19,E.T. the Extra-Terrestrial,(1982),7.8,91        ,344841,"435,110,554","
Family, Sci-Fi            ",tt0083866
20,20,Toy Story 4,(2019),8.0,84        ,128039,"433,033,071","
Animation, Adventure, Comedy            ",tt1979376
21,21,Captain Marvel,(2019),7.0,64        ,371735,"426,829,839","
Action, Adventure, Sci-Fi            ",tt4154664
22,22,The Hunger Games: Catching Fire,(2013),7.5,76        ,584033,"424,668,047","
Action, Adventure, Sci-Fi            ",tt1951264
23,23,Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,53        ,622992,"423,315,812","
Action, Adventure, Fantasy            ",tt0383574
